TOP 50 DOCUMENTS BASED ON PAGE-RANK 
****************************************************************************************************


DOCUMENT-ID: PAGE RANK
WT21-B37-76 : 0.002694474415548852
WT21-B37-75 : 0.0015331790999983696
WT25-B39-116 : 0.0014685014163258441
WT23-B21-53 : 0.0013735249384257413
WT24-B26-10 : 0.0012761567441301835
WT24-B40-171 : 0.0012452932176087873
WT23-B39-340 : 0.0012429131583240284
WT23-B37-134 : 0.001205421411225966
WT08-B18-400 : 0.0011447772878379328
WT13-B06-284 : 0.0011365580053119629
WT13-B06-273 : 0.001054924572237192
WT01-B18-225 : 0.0009553819646804129
WT04-B27-720 : 0.0009409643880874125
WT24-B26-46 : 0.0008622382200878532
WT23-B19-156 : 0.0008250707097264705
WT04-B30-12 : 0.0008166232564417632
WT25-B15-307 : 0.0007972235352502563
WT07-B18-256 : 0.0007750374173618375
WT24-B40-167 : 0.0007076287336773967
WT14-B03-220 : 0.0006988859665464074
WT18-B31-240 : 0.000694225761176813
WT14-B03-227 : 0.0006853161902724959
WT04-B40-202 : 0.0006846808587291352
WT08-B19-222 : 0.0006495325679505334
WT23-B20-363 : 0.0006396360122161391
WT27-B28-203 : 0.0006270797188364757
WT13-B39-295 : 0.0006215375109129346
WT13-B15-160 : 0.0006198585719576205
WT12-B30-56 : 0.0006024553556203915
WT10-B02-288 : 0.000584449403785484
WT14-B36-337 : 0.0005617073225026656
WT21-B40-37 : 0.0005471879888092854
WT21-B35-155 : 0.0005456969794965117
WT23-B01-40 : 0.0005408521292800557
WT08-B08-60 : 0.0005361223089507779
WT22-B38-403 : 0.0005335787862506733
WT13-B39-321 : 0.0005328954548184708
WT04-B22-268 : 0.000532864118235412
WT14-B02-400 : 0.0005328037061426231
WT18-B14-66 : 0.0005295595740149622
WT06-B14-69 : 0.0005191619761151674
WT23-B38-120 : 0.0005186941409833777
WT06-B35-151 : 0.0005169281255289376
WT10-B33-300 : 0.0005167739665966546
WT14-B36-334 : 0.0005158618622725169
WT14-B36-335 : 0.0005158618622725169
WT14-B36-323 : 0.0005158618622725169
WT14-B36-336 : 0.0005158618622725169
WT06-B35-161 : 0.0005150221641759413
WT27-B20-494 : 0.000514480870451744
